"NAV Sektions-ID","Level 1","Level 2","Level 3","Ist aktiv","Name","Adresse","Zusätzliche Adresszeile","Ort","PLZ","Kanton","Telefonnummer","Haupt-E-Mail","Homepage Jugend","Hat JO","Gründungsjahr","Mit Freigabeprozess","Austritt nur durch Sektion","Sprache","Sektionsbeitrag Mitgliedschaft Einzel","Sektionsbeitrag Mitgliedschaft Familie","Sektionsbeitrag Mitgliedschaft Jugend","Eintrittsgebühr Mitgliedschaft Einzel","Eintrittsgebühr Mitgliedschaft Familie","Eintrittsgebühr Mitgliedschaft Jugend","Porto Ausland Sektionsbulletin","Zentralverbandsgebührenerlass für Ehrenmitglieder","Sektionsgebührenerlass für Ehrenmitglieder","Zentralverbandsgebührenerlass für Begünstigte","Sektionsgebührenerlass für Begünstigte","Reduktionsbetrag Mitgliedsjahre/Alter","Reduktion ab Mitgliedsjahren","Reduktion ab Altersjahren"
"00001500","00001000","00001500",,"1","1500 SAC Bern","Brunngasse 36",,"Bern","3011","BE",,"sac-bern@example.ch","https://sac-bern.ch","1","1863","1","1","deutsch","69.00000000000000000000","113.00000000000000000000","34.00000000000000000000","35.00000000000000000000","42.00000000000000000000","0.00000000000000000000","5.00000000000000000000","1","1","0","1","69.00000000000000000000","60","0"
"00001501","00001000","00001501",,"1","1501 SAC Gantrisch","Unterwahlern 27",,"Schwarzenburg","3150","BE","031 999 99 99","sac-gantrisch@example.ch","https://sac-gantrisch.ch","1","2012","1","1","deutsch","58.00000000000000000000","94.00000000000000000000","27.00000000000000000000","20.00000000000000000000","30.00000000000000000000","0.00000000000000000000","5.00000000000000000000","1","1","0","1","58.00000000000000000000","60","0"
"00001550","00001000","00001550",,"1","1550 SAC Bernina","Postfach",,"Zuoz","7524","GR",,"sac-bernina@example.ch","https://sac-bernina.ch","1","1891","1","1","deutsch","32.00000000000000000000","69.00000000000000000000","30.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","5.00000000000000000000","1","1","1","1","22.00000000000000000000","50","0"
"00001600","00001000","00001600",,"1","1600 SAC Biel","Postfach",,"Biel/Bienne 1","2501","BE",,"sac-biel@example.ch","https://sac-biel.ch","1","1882","1","1","deutsch","70.00000000000000000000","95.00000000000000000000","35.00000000000000000000","20.00000000000000000000","30.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","0","1","25.00000000000000000000","50","0"
"00001601","00001000","00001601",,"1","1601 SAC Murten","Sektion Murten",,"Murten","3280","FR",,"sac-murten@example.ch","https://sac-murten.ch","1","2017","1","1","deutsch","47.00000000000000000000","72.00000000000000000000","27.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","0","1","0.00000000000000000000","0","0"
"00001602","00001000","00001602",,"1","1602 CAS La Neuveville","Case postale",,"La Neuveville","2520","BE",,"cas-la-neuveville@example.ch","https://cas-la-neuveville.ch","1","2007","1","1","französisch","50.00000000000000000000","75.00000000000000000000","30.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","0","1","25.00000000000000000000","45","0"
"00001603","00001000","00001603",,"1","1603 SAC Biel Büren a/A","Reibenweg 49",,"Büren an der Aare","3294","BE",,"sac-biel-bren-aa@example.ch",,"0","1919","1","1","deutsch","70.00000000000000000000","95.00000000000000000000","35.00000000000000000000","20.00000000000000000000","30.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","0","1","25.00000000000000000000","50","0"
"00001650","00001000","00001650",,"1","1650 SAC Blüemlisalp","Postfach",,"Thun","3600","BE",,"sac-blemlisalp@example.ch","https://sac-blemlisalp.ch","1","1874","1","1","deutsch","60.00000000000000000000","120.00000000000000000000","60.00000000000000000000","6.00000000000000000000","6.00000000000000000000","0.00000000000000000000","5.00000000000000000000","1","1","0","0","60.00000000000000000000","50","0"
"00001651","00001000","00001651","00001650","1","1651 SAC Blüemlisalp Ausserberg","Aegertestrasse 9",,"Naters","3904","VS",,"sac-blemlisalp-ausserberg@example.ch",,"0","1975","1","1","deutsch","60.00000000000000000000","120.00000000000000000000","60.00000000000000000000","6.00000000000000000000","6.00000000000000000000","0.00000000000000000000","5.00000000000000000000","1","1","0","0","60.00000000000000000000","50","0"
"00001700","00001000","00001700",,"1","1700 SAC Bodan","Hausstrasse 16",,"Weinfelden","8570","TG",,"sac-bodan@example.ch","https://sac-bodan.ch/subpath/example.html","1","1901","1","1","deutsch","55.00000000000000000000","91.00000000000000000000","30.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","5.00000000000000000000","1","1","0","0","40.00000000000000000000","50","0"
"00001750","00001000","00001750",,"1","1750 SAC Bregaglia","Postfach",,"Promontogno","7606","GR",,"sac-bregaglia@example.ch","https://sac-bregaglia.ch","1","1903","1","1","deutsch","22.00000000000000000000","35.00000000000000000000","10.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","6.00000000000000000000","1","1","0","0","0.00000000000000000000","0","0"
"00001800","00001000","00001800",,"1","1800 SAC Brugg","Rauchensteinstrasse 14",,"Brugg AG","5200","AG",,"sac-brugg@example.ch","https://sac-brugg.ch","1","1922","1","1","deutsch","42.00000000000000000000","87.00000000000000000000","20.00000000000000000000","30.00000000000000000000","50.00000000000000000000","0.00000000000000000000","10.00000000000000000000","0","1","0","1","42.00000000000000000000","43","0"
"00001850","00001000","00001850",,"1","1850 SAC Burgdorf","Postfach",,"Burgdorf","3400","BE",,"sac-burgdorf@example.ch","https://sac-burgdorf.ch","1","1879","1","1","deutsch","50.00000000000000000000","82.00000000000000000000","35.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","5.00000000000000000000","1","1","1","1","40.00000000000000000000","40","0"
"00001851","00001000","00001851",,"1","1851 SAC Brandis","Postfach",,"Hasle-Rüegsau","3415","BE",,"sac-brandis@example.ch","https://sac-brandis.ch","1","1997","1","1","deutsch","28.00000000000000000000","56.00000000000000000000","18.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0","0","0","0","28.00000000000000000000","40","0"
"00001852","00001000","00001852",,"1","1852 SAC Huttwil","Postfach",,"Huttwil","4950","BE",,"sac-huttwil@example.ch","https://sac-huttwil.ch","1","1937","1","0","deutsch","35.00000000000000000000","70.00000000000000000000","20.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","5.00000000000000000000","1","1","0","0","35.00000000000000000000","46","0"
"00001853","00001000","00001853","00001850","1","1853 SAC Burgdorf Damen","Weslen 101C",,"Wynigen","3472","BE",,,,"0","1879","1","1","deutsch","50.00000000000000000000","82.00000000000000000000","35.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","5.00000000000000000000","1","1","1","1","40.00000000000000000000","40","0"
"00001880","00001000","00001880",,"1","1880 CAS Carougeoise","Place des Charmettes 3",,"Carouge GE","1227","GE",,"cas-carougeoise@example.ch","https://cas-carougeoise.ch","1","1977","1","1","französisch","44.00000000000000000000","79.00000000000000000000","12.00000000000000000000","10.00000000000000000000","20.00000000000000000000","0.00000000000000000000","5.00000000000000000000","1","1","0","0","44.00000000000000000000","50","0"
"00001900","00001000","00001900",,"1","1900 CAS Chasseral","Postfach",,"St-Imier","2610","BE",,"cas-chasseral@example.ch","https://cas-chasseral.ch","1","1960","0","0","französisch","50.00000000000000000000","93.00000000000000000000","25.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","5.00000000000000000000","0","0","0","1","50.00000000000000000000","40","0"
"00001950","00001000","00001950",,"1","1950 CAS Chasseron","Rue du Parc 11",,"Couvet","2108","NE",,,"https://cas-chasseron.ch","1","1897","1","1","französisch","50.00000000000000000000","80.00000000000000000000","10.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","0","0","0.00000000000000000000","0","0"
"00002000","00001000","00002000",,"1","2000 CAS Chaussy",,"Case postal 94 ","Aigle","1860","VD",,"cas-chaussy@example.ch","https://cas-chaussy.ch","1","1917","1","1","französisch","70.00000000000000000000","112.00000000000000000000","25.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","0","1","60.00000000000000000000","50","0"
"00002050","00001000","00002050",,"1","2050 CAS La Chaux-de-Fonds","Rue du Progrès 91 a",,"La Chaux-de-Fonds","2300","NE",,"cas-la-chauxdefonds@example.ch","https://cas-la-chauxdefonds.ch","1","1887","1","1","französisch","60.00000000000000000000","102.00000000000000000000","30.00000000000000000000","20.00000000000000000000","20.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0","0","0","1","35.00000000000000000000","40","0"
"00002100","00001000","00002100",,"1","2100 SAC Davos","Sektion Davos",,"Davos Platz","7270","GR",,"sac-davos@example.ch","https://sac-davos.ch","1","1886","1","1","deutsch","50.00000000000000000000","82.00000000000000000000","30.00000000000000000000","10.00000000000000000000","10.00000000000000000000","10.00000000000000000000","5.00000000000000000000","0","1","0","1","50.00000000000000000000","50","0"
"00002150","00001000","00002150",,"1","2150 CAS Delémont","Section de Delémont",,"Delémont","2800","JU",,"cas-delmont@example.ch","https://cas-delmont.ch","1","1923","1","1","französisch","36.00000000000000000000","65.00000000000000000000","25.00000000000000000000","5.00000000000000000000","9.00000000000000000000","0.00000000000000000000","2.00000000000000000000","0","1","0","0","36.00000000000000000000","40","0"
"00002200","00001000","00002200",,"1","2200 CAS Dent-De-Lys","Case postale 341",,"Châtel-St-Denis","1618","FR",,"cas-dentdelys@example.ch","https://cas-dentdelys.ch","1","1922","0","0","französisch","48.00000000000000000000","70.00000000000000000000","35.00000000000000000000","5.00000000000000000000","10.00000000000000000000","5.00000000000000000000","5.00000000000000000000","1","1","0","0","0.00000000000000000000","0","0"
"00002249","00001000","00002249",,"1","2249 CAS Diablerets","Rue Beau-Séjour 24","Case postale 324","Lausanne","1002","VD",,"cas-diablerets@example.ch","https://cas-diablerets.ch","1","1863","1","1","französisch","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0","0","0","0","0.00000000000000000000","0","0"
"00002250","00001000","00002250","00002249","1","2250 CAS Diablerets Lausanne","Rue Beau-Séjour 24","Case postale 324","Lausanne","1002","VD",,"cas-diablerets-lausanne@example.ch","https://cas-delmont.ch","1","1863","1","1","französisch","110.00000000000000000000","177.00000000000000000000","65.00000000000000000000","30.00000000000000000000","60.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","1","1","70.00000000000000000000","40","0"
"00002251","00001000","00002251","00002249","1","2251 CAS Diablerets Morges","Case postale",,"Mont-sur-Rolle","1185","VD",,"cas-diablerets-morges@example.ch",,"0","1925","0","0","französisch","90.00000000000000000000","157.00000000000000000000","55.00000000000000000000","30.00000000000000000000","60.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","1","1","70.00000000000000000000","40","0"
"00002252","00001000","00002252","00002249","1","2252 CAS Diablerets Payerne","Case postale",,"Payerne","1530","VD",,"cas-diablerets-payerne@example.ch","https://cas-diablerets-payerne.ch","1","1925","0","1","französisch","85.00000000000000000000","150.00000000000000000000","50.00000000000000000000","30.00000000000000000000","60.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0","0","0","0","65.00000000000000000000","40","0"
"00002253","00001000","00002253","00002249","1","2253 CAS Diablerets Vallorbe","Case Postale 5569",,"Lausanne","1002","VD",,"cas-diablerets-vallorbe@example.ch","https://cas-diablerets-vallorbe.ch","1","1926","1","1","französisch","100.00000000000000000000","177.00000000000000000000","55.00000000000000000000","30.00000000000000000000","60.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","1","1","80.00000000000000000000","40","0"
"00002254","00001000","00002254","00002249","1","2254 CAS Diabl. Château d'Oex","Case Postale 5569",,"Lausanne","1002","VD",,"cas-diablchteau-doex@example.ch","https://cas-diablchteau-doex.ch","1","1948","0","1","französisch","85.00000000000000000000","147.00000000000000000000","55.00000000000000000000","30.00000000000000000000","60.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","1","1","65.00000000000000000000","40","0"
"00002300","00001000","00002300",,"1","2300 CAS La Dôle","Postfach",,"Nyon","1260","VD",,"cas-la-dle@example.ch","https://cas-la-dle.ch","1","1945","0","0","französisch","50.00000000000000000000","85.00000000000000000000","30.00000000000000000000","35.00000000000000000000","70.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0","1","0","0","50.00000000000000000000","50","0"
"00002330","00001000","00002330",,"0","2330 SAC Drei Tannen",,,"Kappel SO","4616","SO",,,"https://sac-drei-tannen.ch","0","1934","0","0","deutsch","20.00000000000000000000","20.00000000000000000000","20.00000000000000000000","5.00000000000000000000","5.00000000000000000000","5.00000000000000000000","0.00000000000000000000","0","0","0","0","0.00000000000000000000","0","0"
"00002350","00001000","00002350",,"1","2350 SAC Einsiedeln","Postfach",,"Einsiedeln","8840","SZ",,"sac-einsiedeln@example.ch","https://sac-einsiedeln.ch","1","1903","1","1","deutsch","31.00000000000000000000","62.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","7.00000000000000000000","1","1","0","0","31.00000000000000000000","50","0"
"00002400","00001000","00002400",,"1","2400 SAC Emmental","Postfach",,"Langnau im Emmental","3550","BE",,"sac-emmental@example.ch","https://sac-emmental.ch","1","1889","1","1","deutsch","55.00000000000000000000","94.00000000000000000000","40.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","7.00000000000000000000","1","1","0","0","32.00000000000000000000","40","0"
"00002401","00001000","00002401",,"1","2401 SAC Grosshöchstetten","Postfach",,"Grosshöchstetten","3506","BE",,"sac-grosshchstetten@example.ch","https://sac-grosshchstetten.ch","1","1999","1","1","deutsch","30.00000000000000000000","60.00000000000000000000","15.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0","1","0","0","30.00000000000000000000","40","0"
"00002450","00001000","00002450",,"1","2450 SAC Engelberg","Postfach",,"Engelberg","6390","OW",,"sac-engelberg@example.ch","https://sac-engelberg.ch","1","1910","0","1","deutsch","35.00000000000000000000","65.00000000000000000000","10.00000000000000000000","20.00000000000000000000","30.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","0","1","35.00000000000000000000","40","0"
"00002500","00001000","00002500",,"1","2500 SAC Engiadina Bassa","Postfach",,"Scuol","7550","GR",,"sac-engiadina-bassa@example.ch","https://sac-engiadina-bassa.ch","1","1892","1","1","deutsch","32.00000000000000000000","60.00000000000000000000","19.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0","1","0","0","32.00000000000000000000","50","0"
"00002530","00001000","00002530",,"1","2530 SAC Entlebuch","Postfach",,"Entlebuch","6162","LU",,"sac-entlebuch@example.ch","https://sac-entlebuch.ch","1","1990","1","1","deutsch","30.00000000000000000000","60.00000000000000000000","15.00000000000000000000","10.00000000000000000000","10.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","0","1","0.00000000000000000000","0","0"
"00002550","00001000","00002550",,"1","2550 CAS Genevoise","Avenue du Mail 4",,"Genève","1205","GE",,"cas-genevoise@example.ch","https://cas-genevoise.ch","1","1865","1","1","französisch","65.00000000000000000000","104.00000000000000000000","15.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","2.00000000000000000000","1","1","0","0","65.00000000000000000000","60","0"
"00002600","00001000","00002600",,"1","2600 SAC Gotthard","Mattenweg 7",,"Schattdorf","6467","UR",,"sac-gotthard@example.ch","https://sac-gotthard.ch","1","1881","1","1","deutsch","35.00000000000000000000","55.00000000000000000000","10.00000000000000000000","10.00000000000000000000","15.00000000000000000000","0.00000000000000000000","5.00000000000000000000","1","1","1","1","35.00000000000000000000","50","0"
"00002601","00001000","00002601","00002600","0","2601 SAC Gotthard Frauen",,,,,"UR",,,"https://sac-gotthard-frauen.ch","0","1981","0","0","deutsch","18.00000000000000000000","55.00000000000000000000","10.00000000000000000000","10.00000000000000000000","15.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","1","1","18.00000000000000000000","50","0"
"00002650","00001000","00002650",,"1","2650 SAC Grenchen","Postfach",,"Grenchen","2540","SO",,"sac-grenchen@example.ch","https://sac-grenchen.ch","1","1945","1","1","deutsch","40.00000000000000000000","80.00000000000000000000","20.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0","1","0","0","40.00000000000000000000","50","0"
"00002700","00001000","00002700",,"1","2700 SAC Grindelwald","Postfach",,"Grindelwald","3818","BE",,"sac-grindelwald@example.ch","https://sac-grindelwald.ch","1","1907","1","1","deutsch","45.00000000000000000000","73.00000000000000000000","45.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","0","0","45.00000000000000000000","50","0"
"00002750","00001000","00002750",,"1","2750 CAS Gruyère","Chemin de Bouleyres 79",,"Bulle","1630","FR",,"cas-gruyre@example.ch","https://cas-gruyre.ch","1","1922","1","0","französisch","40.00000000000000000000","80.00000000000000000000","40.00000000000000000000","35.00000000000000000000","60.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","0","1","40.00000000000000000000","50","0"
"00002800","00001000","00002800",,"1","2800 SAC Piz Platta","Cresta 2",,"Scharans","7412","GR",,"sac-piz-platta@example.ch","https://sac-piz-platta.ch","1","1920","1","1","deutsch","35.00000000000000000000","60.00000000000000000000","20.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","0","1","35.00000000000000000000","50","0"
"00002830","00001000","00002830",,"1","2830 SAC Hohe Winde","Postfach 603",,"Laufen","4242","BL",,"sac-hohe-winde@example.ch","https://sac-hohe-winde.ch","1","1982","0","1","deutsch","57.00000000000000000000","83.00000000000000000000","27.00000000000000000000","20.00000000000000000000","20.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0","1","0","1","57.00000000000000000000","52","0"
"00002850","00001000","00002850",,"1","2850 SAC Hoher Rohn","Postfach",,"Wädenswil","8820","ZH",,"sac-hoher-rohn@example.ch","https://sac-hoher-rohn.ch","1","1891","1","1","deutsch","80.00000000000000000000","120.00000000000000000000","30.00000000000000000000","20.00000000000000000000","30.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0","1","0","0","0.00000000000000000000","0","0"
"00002900","00001000","00002900",,"1","2900 SAC Homberg","Postfach",,"Reinach AG","5734","AG",,"sac-homberg@example.ch","https://sac-homberg.ch","1","1920","0","1","deutsch","40.00000000000000000000","85.00000000000000000000","40.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","0","0","40.00000000000000000000","40","0"
"00002930","00001000","00002930",,"1","2930 SAC Hörnli","Am Binzikerbach 11",,"Grüningen","8627","ZH",,"sac-hrnli@example.ch","https://sac-hrnli.ch","0","1998","1","1","deutsch","45.00000000000000000000","75.00000000000000000000","20.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","5.00000000000000000000","0","0","0","0","0.00000000000000000000","0","0"
"00002950","00001000","00002950",,"1","2950 SAC Interlaken","Postfach",,"Matten b. Interlaken","3800","BE","033 999 99 99","sac-interlaken@example.ch","https://sac-interlaken.ch","1","1873","0","1","deutsch","40.00000000000000000000","62.00000000000000000000","30.00000000000000000000","5.00000000000000000000","10.00000000000000000000","5.00000000000000000000","0.00000000000000000000","1","1","0","0","35.00000000000000000000","50","0"
"00003000","00001000","00003000",,"1","3000 CAS Jaman","Rue d'Italie 43",,"Vevey","1800","VD",,"cas-jaman@example.ch","https://cas-jaman.ch","1","1876","0","1","französisch","85.00000000000000000000","130.00000000000000000000","20.00000000000000000000","50.00000000000000000000","50.00000000000000000000","0.00000000000000000000","15.00000000000000000000","0","0","0","0","25.00000000000000000000","50","0"
"00003030","00001000","00003030",,"0","3030 CAS Jorat (Frauen-Biel)",,,"Biel/Bienne","2500","BE",,,"https://cas-jorat-frauenbiel.ch","0","1920","0","0","französisch","30.00000000000000000000","0.00000000000000000000","15.00000000000000000000","10.00000000000000000000","0.00000000000000000000","5.00000000000000000000","15.00000000000000000000","0","0","0","0","30.00000000000000000000","50","0"
"00003050","00001000","00003050",,"1","3050 CAS Jura","Case postale",,"Porrentruy","2900","JU",,"cas-jura@example.ch","https://cas-jura.ch","1","1917","0","1","französisch","36.00000000000000000000","72.00000000000000000000","14.00000000000000000000","10.00000000000000000000","0.00000000000000000000","5.00000000000000000000","5.00000000000000000000","0","0","0","0","20.00000000000000000000","57","0"
"00003100","00001000","00003100",,"1","3100 SAC Kaiseregg","Sektion Kaiseregg",,"Düdingen","3186","FR",,"sac-kaiseregg@example.ch","https://sac-kaiseregg.ch","1","1978","1","1","deutsch","33.00000000000000000000","64.00000000000000000000","23.00000000000000000000","25.00000000000000000000","35.00000000000000000000","20.00000000000000000000","5.00000000000000000000","1","1","0","0","33.00000000000000000000","60","0"
"00003150","00001000","00003150",,"1","3150 SAC Kamor","Postfach",,"Heerbrugg","9435","SG",,"sac-kamor@example.ch","https://sac-kamor.ch","1","1907","0","1","deutsch","32.00000000000000000000","44.00000000000000000000","17.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","5.00000000000000000000","0","1","0","0","32.00000000000000000000","40","0"
"00003200","00001000","00003200",,"1","3200 SAC Kirchberg","Postfach",,"Kirchberg BE","3422","BE",,"sac-kirchberg@example.ch","https://sac-kirchberg.ch","1","1923","1","1","deutsch","37.00000000000000000000","76.00000000000000000000","22.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","5.00000000000000000000","1","1","0","0","37.00000000000000000000","40","0"
"00003250","00001000","00003250",,"1","3250 SAC Lägern","Postfach",,"Baden-Dättwil","5406","AG",,"sac-lgern@example.ch","https://sac-lgern.ch","1","1900","1","1","deutsch","65.00000000000000000000","110.00000000000000000000","30.00000000000000000000","20.00000000000000000000","30.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0","1","0","0","60.00000000000000000000","50","0"
"00003251","00001000","00003251","00003250","0","3251 SAC Laegern Zurzach","Wiesenstrasse 3",,"Koblenz","5322","AG",,"sac-laegern-zurzach@example.ch","https://sac-laegern-zurzach.ch","0","1924","1","1","deutsch","65.00000000000000000000","110.00000000000000000000","30.00000000000000000000","20.00000000000000000000","30.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0","0","0","0","60.00000000000000000000","50","0"
"00003300","00001000","00003300",,"1","3300 SAC Lauterbrunnen","Postfach",,"Lauterbrunnen","3822","BE",,"sac-lauterbrunnen@example.ch","https://sac-lauterbrunnen.ch","1","1908","0","0","deutsch","35.00000000000000000000","64.00000000000000000000","20.00000000000000000000","20.00000000000000000000","30.00000000000000000000","0.00000000000000000000","8.00000000000000000000","1","1","0","1","25.00000000000000000000","40","0"
"00003350","00001000","00003350",,"1","3350 SAC Ledifluh","Postfach",,"Gümmenen","3205","BE",,"sac-ledifluh@example.ch","https://sac-ledifluh.ch","1","1969","1","1","deutsch","55.00000000000000000000","90.00000000000000000000","15.00000000000000000000","10.00000000000000000000","10.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1","1","0","0","55.00000000000000000000","40","0"
